@00004194: $23 <= 000031c0
@00004198: $26 <= 000030c8
@0000419c: $27 <= 00000014
@000041a0: $20 <= 00000002
@000041a4: *0000019c <= 00000002
@000041a8: $29 <= 000001a0
@000041ac: *000001a0 <= 000030c8
@000041b0: $29 <= 000001a4
@000041b4: *000001a4 <= 00000014
@000041b8: $29 <= 000001a8
@000041e8: $26 <= 000030cc
@00004180: $16 <= 00008fff
@00004184: $17 <= 00003002
@00004188: $18 <= 00002ff8
@0000418c: $19 <= 000077f8
@00004190: $22 <= 000031b4
@00004194: $23 <= 000031c0
@00004198: $26 <= 000030cc
@0000419c: $27 <= 00000014
@000041a0: $20 <= 00000002
@000041a4: *000001a8 <= 00000002
@000041a8: $29 <= 000001ac
@000041ac: *000001ac <= 000030cc
@000041b0: $29 <= 000001b0
@000041b4: *000001b0 <= 00000014
@000041b8: $29 <= 000001b4
@000041e8: $26 <= 000030d0
@00004180: $16 <= 00008fff
@00004184: $17 <= 00003002
@00004188: $18 <= 00002ff8
@0000418c: $19 <= 000077f8
@00004190: $22 <= 000031b4
@00004194: $23 <= 000031c0
@00004198: $26 <= 000030d0
@0000419c: $27 <= 00000014
@000041a0: $20 <= 00000002
@000041a4: *000001b4 <= 00000002
@000041a8: $29 <= 000001b8
@000041ac: *000001b8 <= 000030d0
@000041b0: $29 <= 000001bc
@000041b4: *000001bc <= 00000014
@000041b8: $29 <= 000001c0
@000041e8: $26 <= 000030d4
@00004180: $16 <= 00008fff
@00004184: $17 <= 00003002
@00004188: $18 <= 00002ff8
@0000418c: $19 <= 000077f8
@00004190: $22 <= 000031b4
@00004194: $23 <= 000031c0
@00004198: $26 <= 000030d4
@0000419c: $27 <= 00000014
@000041a0: $20 <= 00000002
@000041a4: *000001c0 <= 00000002
@000041a8: $29 <= 000001c4
@000041ac: *000001c4 <= 000030d4
@000041b0: $29 <= 000001c8
@000041b4: *000001c8 <= 00000014
@000041b8: $29 <= 000001cc
@000041e8: $26 <= 000030d8
@00003010: $31 <= 00003018
@000030e0: $ 1 <= 7fff0000
@00004180: $16 <= 00008fff
@00004184: $17 <= 00003002
@00004188: $18 <= 00002ff8
@0000418c: $19 <= 000077f8
@00004190: $22 <= 000031b4
@00004194: $23 <= 000031c0
@00004198: $26 <= 000030e4
@0000419c: $27 <= 00000010
@000041a0: $20 <= 00000002
@000041a4: *000001cc <= 00000002
@000041a8: $29 <= 000001d0
@000041ac: *000001d0 <= 000030e4
@000041b0: $29 <= 000001d4
@000041b4: *000001d4 <= 00000010
@000041b8: $29 <= 000001d8
@000041e8: $26 <= 000030e8
@00004180: $16 <= 00008fff
@00004184: $17 <= 00003002
@00004188: $18 <= 00002ff8
@0000418c: $19 <= 000077f8
@00004190: $22 <= 000031b4
@00004194: $23 <= 000031c0
@00004198: $26 <= 000030e8
@0000419c: $27 <= 00000010
@000041a0: $20 <= 00000002
@000041a4: *000001d8 <= 00000002
@000041a8: $29 <= 000001dc
@000041ac: *000001dc <= 000030e8
@000041b0: $29 <= 000001e0
@000041b4: *000001e0 <= 00000010
@000041b8: $29 <= 000001e4
@000041e8: $26 <= 000030ec
@00004180: $16 <= 00008fff
@00004184: $17 <= 00003002
@00004188: $18 <= 00002ff8
@0000418c: $19 <= 000077f8
@00004190: $22 <= 000031b4
@00004194: $23 <= 000031c0
@00004198: $26 <= 000030ec
@0000419c: $27 <= 00000010
@000041a0: $20 <= 00000002
@000041a4: *000001e4 <= 00000002
@000041a8: $29 <= 000001e8
@000041ac: *000001e8 <= 000030ec
@000041b0: $29 <= 000001ec
@000041b4: *000001ec <= 00000010
@000041b8: $29 <= 000001f0
@000041e8: $26 <= 000030f0
@00004180: $16 <= 00008fff
@00004184: $17 <= 00003002
